PCA RESULTS DE_Mobility
============================================================

  PC1: 88.33%
  PC2: 10.02%
  PC3: 1.34%
  PC4: 0.29%
  PC5: 0.02%
  PC6: 0.01%
  PC7: 0.00%
  PC8: 0.00%
  PC9: 0.00%
  PC10: 0.00%

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
DE_AG	5.18683	-17.50905
DE_AI	-41.40753	5.61538
DE_AR	-6.87715	20.56450
DE_BE	216.37650	14.37055
DE_BL	17.17828	59.22753
DE_BS	85.43531	-46.56878
DE_GL	-35.98175	-4.02735
DE_LU	4.48801	-15.07762
DE_NW	-32.19989	-2.30175
DE_OW	-33.33412	14.16802
DE_SH	-23.92377	-2.29024
DE_SO	-29.93110	1.09938
DE_SZ	-19.71800	-0.61688
DE_TG	-37.64703	-2.20482
DE_UR	-14.07882	-10.87309
DE_ZG	-25.76668	-4.97264
DE_ZH	-27.79910	-8.60314

--- TOP WORD LOADINGS ---
Word	PC1	PC2
infrastruktur	0.90844	-0.36837
kosten	0.38635	0.92029
erreichbarkeit	0.15694	-0.12640
verkehrsnetz	0.02471	-0.03076
mobilitätsstrategie	0.01501	-0.02073
versorgungsqualität	-0.00167	-0.00165
verfügbarkeit verkehrsmittel	-0.00052	0.00193
verkehrsintegration	0.00000	0.00000
erreichbarkeitsgerechtigkeit	0.00000	0.00000
mobilitätsbudget	0.00000	0.00000
bewegungsfähigkeit	0.00000	0.00000
räumlich zentralität	0.00000	0.00000
mobilitätskapital	0.00000	0.00000
mobilitätshabitus	0.00000	0.00000
bewegungsautonomie	0.00000	0.00000
mobilitätslernen	0.00000	0.00000
orientierungskompetenz	-0.00000	-0.00000
raumvorstellung	0.00000	0.00000
mobilitätsmotivation	0.00000	0.00000
symbolisch mobilität	0.00000	0.00000
