,DE_AG,DE_AI,DE_AR,DE_BE,DE_BL,DE_BS,DE_GL,DE_LU,DE_NW,DE_OW,DE_SH,DE_SO,DE_SZ,DE_TG,DE_UR,DE_ZG,DE_ZH
bewegungsfähigkeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätskapital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätshabitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bewegungsautonomie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätslernen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätsstrategie,4,0,0,3,1,4,0,0,0,0,0,2,0,0,0,0,0
orientierungskompetenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raumvorstellung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätsmotivation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
symbolisch mobilität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
