,DE_AG,DE_AI,DE_AR,DE_BE,DE_BL,DE_BS,DE_GL,DE_LU,DE_NW,DE_OW,DE_SH,DE_SO,DE_SZ,DE_TG,DE_UR,DE_ZG,DE_ZH,Sum
erreichbarkeit,17,3,7,33,23,47,4,21,3,5,16,1,11,2,5,3,6,207
versorgungsqualität,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
verkehrsintegration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kosten,5,8,35,115,81,10,1,7,4,19,8,8,11,2,3,4,0,321
verfügbarkeit verkehrsmittel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
infrastruktur,54,4,30,237,34,135,13,52,16,8,21,17,25,11,36,23,22,738
räumlich zentralität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erreichbarkeitsgerechtigkeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätsbudget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verkehrsnetz,11,8,2,9,7,12,0,2,2,3,8,6,16,3,3,5,3,100
bewegungsfähigkeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätskapital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätshabitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bewegungsautonomie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätslernen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätsstrategie,4,0,0,3,1,4,0,0,0,0,0,2,0,0,0,0,0,14
orientierungskompetenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raumvorstellung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilitätsmotivation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
symbolisch mobilität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
